nombre,lat,lng,direccion,categoria,capa,mapa,lista
Yogurtissimo,40.8508556,17.1206925,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
"Bar Gelateria ""Dolci Voglie""",40.8489211,17.1194727,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
Caffè Verdi Di Cassone Natale,40.8496859,17.1301719,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
Zinnannà,41.1556362,16.4127204,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
YOYÒ Corato,41.1526867,16.411458,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
Pizzeria Il Chiodo Fisso - Corato,41.1536317,16.4107915,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
Crema e Cioccolato di Nocca Cataldo,41.1536475,16.4096674,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
Green Elf,40.7898618,16.758578,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
Ghenos Risto Pub Pizzeria Corato,41.1578077,16.4086241,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
Francesco Urbano Chocol-Atelier,40.9554681,17.2893983,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
La Galleria,41.2702407,16.426170600000003,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
Dante's Caffetteria Breakfast Only,40.9497431,17.2919681,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
Il Melograno,41.2758333,16.42,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
Pizzeria - Bar la Frasca,40.6465785,15.8276013,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
Pizzeria Il Gazebo,40.5961551,15.7579635,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
Girotondo,40.66652699999999,16.6040101,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
Al Vecchio Crapo,40.8166809,16.4125976,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
La Lanterna Pizzeria,40.816566,16.4157415,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
Gelateria Cenzino,40.82384340000001,16.5573862,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
Tre Archi,40.8264895,16.5539306,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
La Pescarella Ristorante Ginosa,40.5911598,16.7495193,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
La Pietra Azzurra - Vallo di Diano,40.3596914,15.6202382,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
Biffy - Ristorante - Pizzeria,40.58083059999999,16.7503593,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
Locanda San Cipriano,40.4492895,15.549855500000001,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
Lo Sceriffo,40.1807221,15.5394968,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
La Pietra Azzurra - Cilento,40.173746,15.541145000000002,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
Ristorante Lucifero,40.07489590000001,15.6294807,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
Il Focolare Ristorante - Pizzeria,41.08136059999999,16.0823328,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
Locanda al Giglio d' Oro,40.8432808,15.533539800000002,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
Osteria La Tradizione,41.0870884,16.0788473,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
Agriturismo Sei Carri,41.0818065,16.2506815,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
Ristorante Pizzeria Sant'Antonio,40.339507,15.3393069,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
Bar Mincuccio,40.57949069999999,17.0370586,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
Pizza Taxi,40.632918,17.0345199,,OpcionesCERT,CERTIFICADOS / CERTIFIED,GF Social ESP/ITA/POR,GF Social ESP/ITA/POR
