nombre,lat,lng,direccion,categoria,capa,mapa,lista
McDonald's,52.630181,4.747514,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's,52.615921,4.759056000000001,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's Alkmaar West,52.63448200000001,4.715538,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's Almelo Oost,52.3507551,6.676875099999998,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's Almelo Woonboulevard,52.340008000000005,6.642351000000001,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's,52.371984,5.220761,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's,52.1291097,4.6613204,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's,52.15387639999999,5.3852514000000005,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's Amersfoort De Wieken,52.1628228,5.4238841,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's,52.3557542,4.7728324,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's,52.31499179999999,4.953526099999999,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's,52.2123603,5.964726100000001,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's Apeldoorn Noord,52.23544030000001,5.975198300000001,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's,51.9645555,5.8911446,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's,51.9593115,5.895201999999999,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's,51.9756449,5.960051,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's Arnhem Rijnstraat,51.98160499999999,5.906274999999999,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's,53.02635839999999,6.5721476,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's,51.87017400000001,4.548227,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's,52.16913100000001,5.564831,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's,51.4865813,4.278801,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's,51.9817499,4.451010399999999,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's,51.50389300000001,5.413213,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's Bodegraven,52.068023999999994,4.740095,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's Boxmeer,51.6663881,5.9447515,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's,51.585905000000004,4.775850699999999,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's,51.5797951,4.836778699999999,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's,51.60025330000001,4.7385251,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's,51.5821867,4.7297582,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's,52.17174,4.9897571,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's Buikslotermeerplein,52.399046,4.936199999999999,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's,52.275674,5.162366,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's,51.95223010000001,4.5654534,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's,51.9255503,4.566316100000001,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's,52.32325050000001,4.956346400000001,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's,52.0104467,4.3607736,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's,52.0429847,4.2421052,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's,52.06668409999999,4.3194965,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's,52.9586248,4.760612699999999,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's McDrive,52.91621929999999,4.793301500000001,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's McDrive,52.2362076,6.178147600000001,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's Deventer de Scheg,52.2496739,6.204311800000001,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's,52.3326214,4.9789387,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's,51.945114999999994,6.310658999999999,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's,51.81325509999999,4.666971599999999,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's,51.81811039999999,4.7093471,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's,53.1087222,6.0814083,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's,53.09588609999999,6.1357078,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's Duiven,51.967345,5.989125,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's,51.1039931,5.862720700000001,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's Eindhoven Airport,51.4570032,5.392333499999999,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's,51.440986,5.476721,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's,51.439789,5.4782,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's,51.4696258,5.4768282,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's,52.771811,6.896665,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's,52.697519,5.273133,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's Enschede Woonplein,52.224927,6.8813830000000005,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's Enschede Centrum,52.218855,6.898792,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's Enschede Zuiderval,52.2060939,6.890500599999998,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's,52.31579,5.56463,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's,51.572495,4.6681119,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's,51.87989999999999,5.214106699999999,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's,51.482842,3.896325,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's Gorinchem,51.8413251,5.0052878,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's Groningen Sontplein,53.216292,6.584161000000003,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's,53.215956,6.557270999999999,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's Haarlem Casablancastraat,52.358473,4.655205,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's,52.379173200000004,4.633449699999999,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's,52.3538282,5.6304704,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's Hardinxveld-Giessendam,51.822632,4.80913,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's,53.1822395,5.462456800000001,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's Den Hoorn Harnaschpolder,52.0114668,4.316632300000001,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's Hazeldonk-Oost,51.49885279999999,4.743137700000001,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's,51.498494,4.740634,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's Heerde,52.37084000000001,6.022060400000001,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's,52.661821,4.812660999999999,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's,52.287076,6.764505000000001,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's Hengelo Zuid,52.24171399999999,6.763484999999999,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's,51.9444249,5.757098399999999,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's,52.275958,4.572571,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's,52.2256625,5.1764917,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's,52.2210285,5.144356500000001,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's Holten,52.2539282,6.4360322,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's,52.28946,4.723360200000002,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's,51.8744951,4.3580753,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's,52.64792749999999,5.033529100000001,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald’s Hoorn Noord,52.68023650000001,5.083923,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's,52.11385139999999,5.260081,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's,52.01495060000001,5.062699500000001,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's,52.95853709999999,5.8117405,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's,52.5575071,5.884605199999999,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's McDrive,53.1792987,5.7971244,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's,52.16695359999999,4.4466632,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's Leiden Beestenmarkt,52.162859999999995,4.485041000000001,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's Leiden Donkersteeg,52.16003509999999,4.4911338,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's Leiderdorp,52.1603436,4.550203799999999,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's,52.103875,5.060231,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's,52.09026490000001,4.384237199999999,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's,52.482333399999995,5.5053933,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's,52.5227616,5.4389199,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's,52.1288601,5.035051200000001,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's,51.9697267,4.2120347,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's Maastricht Gronsveld,50.812366300000015,5.7214446,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's,50.8499489,5.6889291,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's,50.849585,5.700146999999998,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's,51.806369,5.852896,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's,52.694872,6.2050920000000005,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's,51.48311999999999,3.625049,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's Moordrecht,51.9994649,4.6517607,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald’s,52.3226001,5.082514,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's,51.2775803,5.7395609000000025,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's,52.04934120000001,5.118090499999999,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's,52.04763750000001,5.087088200000001,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's,52.2405172,5.481891600000001,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's,51.8253997,5.803559999999999,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's Nijverdal/ Hellendoorn,52.3616993,6.509093099999999,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's Oldenzaal,52.285079,6.92852,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's,51.6737218,4.8243398,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's,51.5665517,4.4708066,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's Oosterhout,51.89228,5.830027099999998,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's,52.4858074,4.950998999999999,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's,51.87514799999999,4.60464,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's,52.0360112,4.316250099999999,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's Rijswijk Plaspoelpolder,52.03679459999999,4.335649299999999,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's,51.1939286,5.989874599999999,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's,51.535088,4.484500000000001,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's,51.86852140000001,4.453560500000001,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's Rotterdam Coolsingel 207,51.9181521,4.480202800000001,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's Rotterdam Coolsingel 44,51.9216181,4.4797287,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's,51.9103897,4.435441399999999,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's,51.8947722,4.531609,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's,51.8868124,4.490267600000001,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's,52.4256804,4.6467307,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's Sassenheim,52.2149151,4.514322999999999,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's,52.7821876,4.808852399999999,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's Airport Schiphol Lounge 2,52.3091073,4.7646974,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's,52.31096599999999,4.760685699999999,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's,52.32106499999999,4.792317,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's,50.99445499999999,5.842085,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's McDrive,53.0348619,5.6222694,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's,51.85963899999999,4.292684,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's,52.799268,6.120293999999999,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's Venlo Tegelen,51.35144460000001,6.152418700000001,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonalds’s Ter Borch,53.1958619,6.517369699999999,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's Uden McDrive,51.6708201,5.600813899999999,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's,51.5930309,5.1703111,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
McDonald's,52.2558847,4.8252685,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional
