nombre,lat,lng,direccion,categoria,capa,mapa,lista,gf_nivel,certificado,web,telefono,gmaps_url
McDonald's,52.630181,4.747514,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s/@52.630181,4.747514,17z"
McDonald's,52.615921,4.759056000000001,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s/@52.615921,4.759056000000001,17z"
McDonald's Alkmaar West,52.63448200000001,4.715538,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s+Alkmaar+West/@52.63448200000001,4.715538,17z"
McDonald's Almelo Oost,52.3507551,6.676875099999998,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s+Almelo+Oost/@52.3507551,6.676875099999998,17z"
McDonald's Almelo Woonboulevard,52.340008000000005,6.642351000000001,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s+Almelo+Woonboulevard/@52.340008000000005,6.642351000000001,17z"
McDonald's,52.371984,5.220761,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s/@52.371984,5.220761,17z"
McDonald's,52.1291097,4.6613204,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s/@52.1291097,4.6613204,17z"
McDonald's,52.15387639999999,5.3852514000000005,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s/@52.15387639999999,5.3852514000000005,17z"
McDonald's Amersfoort De Wieken,52.1628228,5.4238841,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s+Amersfoort+De+Wieken/@52.1628228,5.4238841,17z"
McDonald's,52.3557542,4.7728324,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s/@52.3557542,4.7728324,17z"
McDonald's,52.31499179999999,4.953526099999999,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s/@52.31499179999999,4.953526099999999,17z"
McDonald's,52.2123603,5.964726100000001,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s/@52.2123603,5.964726100000001,17z"
McDonald's Apeldoorn Noord,52.23544030000001,5.975198300000001,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s+Apeldoorn+Noord/@52.23544030000001,5.975198300000001,17z"
McDonald's,51.9645555,5.8911446,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s/@51.9645555,5.8911446,17z"
McDonald's,51.9593115,5.895201999999999,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s/@51.9593115,5.895201999999999,17z"
McDonald's,51.9756449,5.960051,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s/@51.9756449,5.960051,17z"
McDonald's Arnhem Rijnstraat,51.98160499999999,5.906274999999999,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s+Arnhem+Rijnstraat/@51.98160499999999,5.906274999999999,17z"
McDonald's,53.02635839999999,6.5721476,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s/@53.02635839999999,6.5721476,17z"
McDonald's,51.87017400000001,4.548227,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s/@51.87017400000001,4.548227,17z"
McDonald's,52.16913100000001,5.564831,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s/@52.16913100000001,5.564831,17z"
McDonald's,51.4865813,4.278801,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s/@51.4865813,4.278801,17z"
McDonald's,51.9817499,4.451010399999999,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s/@51.9817499,4.451010399999999,17z"
McDonald's,51.50389300000001,5.413213,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s/@51.50389300000001,5.413213,17z"
McDonald's Bodegraven,52.068023999999994,4.740095,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s+Bodegraven/@52.068023999999994,4.740095,17z"
McDonald's Boxmeer,51.6663881,5.9447515,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s+Boxmeer/@51.6663881,5.9447515,17z"
McDonald's,51.585905000000004,4.775850699999999,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s/@51.585905000000004,4.775850699999999,17z"
McDonald's,51.5797951,4.836778699999999,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s/@51.5797951,4.836778699999999,17z"
McDonald's,51.60025330000001,4.7385251,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s/@51.60025330000001,4.7385251,17z"
McDonald's,51.5821867,4.7297582,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s/@51.5821867,4.7297582,17z"
McDonald's,52.17174,4.9897571,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s/@52.17174,4.9897571,17z"
McDonald's Buikslotermeerplein,52.399046,4.936199999999999,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s+Buikslotermeerplein/@52.399046,4.936199999999999,17z"
McDonald's,52.275674,5.162366,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s/@52.275674,5.162366,17z"
McDonald's,51.95223010000001,4.5654534,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s/@51.95223010000001,4.5654534,17z"
McDonald's,51.9255503,4.566316100000001,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s/@51.9255503,4.566316100000001,17z"
McDonald's,52.32325050000001,4.956346400000001,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s/@52.32325050000001,4.956346400000001,17z"
McDonald's,52.0104467,4.3607736,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s/@52.0104467,4.3607736,17z"
McDonald's,52.0429847,4.2421052,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s/@52.0429847,4.2421052,17z"
McDonald's,52.06668409999999,4.3194965,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s/@52.06668409999999,4.3194965,17z"
McDonald's,52.9586248,4.760612699999999,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s/@52.9586248,4.760612699999999,17z"
McDonald's McDrive,52.91621929999999,4.793301500000001,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s+McDrive/@52.91621929999999,4.793301500000001,17z"
McDonald's McDrive,52.2362076,6.178147600000001,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s+McDrive/@52.2362076,6.178147600000001,17z"
McDonald's Deventer de Scheg,52.2496739,6.204311800000001,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s+Deventer+de+Scheg/@52.2496739,6.204311800000001,17z"
McDonald's,52.3326214,4.9789387,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s/@52.3326214,4.9789387,17z"
McDonald's,51.945114999999994,6.310658999999999,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s/@51.945114999999994,6.310658999999999,17z"
McDonald's,51.81325509999999,4.666971599999999,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s/@51.81325509999999,4.666971599999999,17z"
McDonald's,51.81811039999999,4.7093471,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s/@51.81811039999999,4.7093471,17z"
McDonald's,53.1087222,6.0814083,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s/@53.1087222,6.0814083,17z"
McDonald's,53.09588609999999,6.1357078,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s/@53.09588609999999,6.1357078,17z"
McDonald's Duiven,51.967345,5.989125,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s+Duiven/@51.967345,5.989125,17z"
McDonald's,51.1039931,5.862720700000001,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s/@51.1039931,5.862720700000001,17z"
McDonald's Eindhoven Airport,51.4570032,5.392333499999999,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s+Eindhoven+Airport/@51.4570032,5.392333499999999,17z"
McDonald's,51.440986,5.476721,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s/@51.440986,5.476721,17z"
McDonald's,51.439789,5.4782,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s/@51.439789,5.4782,17z"
McDonald's,51.4696258,5.4768282,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s/@51.4696258,5.4768282,17z"
McDonald's,52.771811,6.896665,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s/@52.771811,6.896665,17z"
McDonald's,52.697519,5.273133,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s/@52.697519,5.273133,17z"
McDonald's Enschede Woonplein,52.224927,6.8813830000000005,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s+Enschede+Woonplein/@52.224927,6.8813830000000005,17z"
McDonald's Enschede Centrum,52.218855,6.898792,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s+Enschede+Centrum/@52.218855,6.898792,17z"
McDonald's Enschede Zuiderval,52.2060939,6.890500599999998,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s+Enschede+Zuiderval/@52.2060939,6.890500599999998,17z"
McDonald's,52.31579,5.56463,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s/@52.31579,5.56463,17z"
McDonald's,51.572495,4.6681119,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s/@51.572495,4.6681119,17z"
McDonald's,51.87989999999999,5.214106699999999,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s/@51.87989999999999,5.214106699999999,17z"
McDonald's,51.482842,3.896325,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s/@51.482842,3.896325,17z"
McDonald's Gorinchem,51.8413251,5.0052878,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s+Gorinchem/@51.8413251,5.0052878,17z"
McDonald's Groningen Sontplein,53.216292,6.584161000000003,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s+Groningen+Sontplein/@53.216292,6.584161000000003,17z"
McDonald's,53.215956,6.557270999999999,,Fast Food,CERTIFICADOS / CERTIFIED,GF Social Internacional,GF Social Internacional,,,,,"https://www.google.com/maps/search/McDonald%27s/@53.215956,6.557270999999999,17z"
