nombre,lat,lng,direccion,categoria,capa,mapa,lista
AriMar – Freiduría y Comida Casera en Playa de Arinaga.,27.857688999999997,-15.3963161,"Av. Polizón, 67, 35118 Arinaga, Las Palmas",,,Sin gluten Canarias,Sin gluten Canarias
Restaurante La Mexicana,27.860996099999998,-15.4348622,"Av. de Canarias, 32, 35110 Vecindario, Las Palmas",,,Sin gluten Canarias,Sin gluten Canarias
Croqueteo,28.0970248,-15.415995899999999,,,,Sin gluten Canarias,Sin gluten Canarias
Mr. Kale,28.1051859,-15.4170178,,,,Sin gluten Canarias,Sin gluten Canarias
Restaurante Mestura,28.101785399999997,-15.4130542,"C. Mendizábal, 28, 35001 Las Palmas de Gran Canaria, Las Palmas",,,Sin gluten Canarias,Sin gluten Canarias
Bien de Amores,28.108712299999997,-15.4188154,,,,Sin gluten Canarias,Sin gluten Canarias
Hotel Jardines De Nivaria,28.0888325,-16.7363706,,,,Sin gluten Canarias,Sin gluten Canarias
La Dulce Boutique,28.034809199999998,-15.4987608,,,,Sin gluten Canarias,Sin gluten Canarias
Hot Pot Chaotianmen,28.1035659,-15.416108099999999,"C. Malteses, 11, 35002 Las Palmas de Gran Canaria, Las Palmas",,,Sin gluten Canarias,Sin gluten Canarias
Heladeria Peña la Vieja,28.1381011,-15.4368527,,,,Sin gluten Canarias,Sin gluten Canarias
450Gradi Las Palmas Italian Restaurant,28.1297343,-15.442885799999999,,,,Sin gluten Canarias,Sin gluten Canarias
Mangia & Bevi,28.131413199999997,-15.4391842,,,,Sin gluten Canarias,Sin gluten Canarias
Chao Chao Noodles & Gyoza,28.103266599999998,-15.4149868,"C. San Pedro, 9, 35002 Las Palmas de Gran Canaria, Las Palmas",,,Sin gluten Canarias,Sin gluten Canarias
Sana Locura Gluten Free Bakery,28.4889396,-16.3170513,"C. Obispo Rey Redondo, 30, 38201 La Laguna, Santa Cruz de Tenerife",,,Sin gluten Canarias,Sin gluten Canarias
Lemon Love Café | Cafetería en Arrecife,28.9597117,-13.5496486,"C. Antonio Porlier Y Sopranis, 15, 35500 Arrecife, Las Palmas",,,Sin gluten Canarias,Sin gluten Canarias
Vive Libre,28.9223648,-13.641292199999999,,,,Sin gluten Canarias,Sin gluten Canarias
Casa Manolo,28.736772499999997,-13.8696232,"C. María González Carballo, 13, 35660 Corralejo, Las Palmas",,,Sin gluten Canarias,Sin gluten Canarias
Restaurante La Vaca Azul,28.684093599999997,-14.0117129,"Calle Requena, 9, 35650 El Cotillo, Las Palmas",,,Sin gluten Canarias,Sin gluten Canarias
Tsunami,28.6841311,-14.011241499999999,"cotillo, Calle muelle de los pescadores 3, 35650 El Cotillo, Las Palmas",,,Sin gluten Canarias,Sin gluten Canarias
"Las cazuelitas, El cotillo",28.6891397,-14.010830299999999,"Av. los Lagos, 42, 35650 El Cotillo, Las Palmas",,,Sin gluten Canarias,Sin gluten Canarias
Restaurante Happy Cactus El Cotillo - Vegan Food,28.6889871,-14.0108363,"Av. los Lagos, 42, Local 3 Edificio, 35650 Marfolin, Las Palmas",,,Sin gluten Canarias,Sin gluten Canarias
RESTAURANTE EL ROQUE LOS PESCADORES,28.6817136,-14.0113386,"C. la Caleta, 73, 35650 El Cotillo, Las Palmas",,,Sin gluten Canarias,Sin gluten Canarias
Panadería y Dulceria las Arenas,28.398948999999998,-16.544552499999998,"C. Tafuriaste, 16, 38400 Puerto de la Cruz, Santa Cruz de Tenerife",,,Sin gluten Canarias,Sin gluten Canarias
McDonald's,28.417299999999997,-16.5449,"Hotel Las Vegas, Av. de Cristobal Colón, 5, Bajos, 38400 Puerto de la Cruz, Santa Cruz de Tenerife",,,Sin gluten Canarias,Sin gluten Canarias
Compostelana Club Café,28.4162882,-16.5507538,"Pl. del Charco, s.n, 38400 Puerto de la Cruz, Santa Cruz de Tenerife",,,Sin gluten Canarias,Sin gluten Canarias
Roots Tenerife,28.4167728,-16.5455085,"C. de Zamora, 2A, 38400 Puerto de la Cruz, Santa Cruz de Tenerife",,,Sin gluten Canarias,Sin gluten Canarias
Tasca Ihuey,28.4166235,-16.5532313,"Calle San Felipe, 34, 38400 Puerto de la Cruz, Santa Cruz de Tenerife",,,Sin gluten Canarias,Sin gluten Canarias
Telepizza Puerto de la Cruz - Comida a Domicilio,28.414838399999997,-16.5478844,"C. de Valois, 18, 38400 Puerto de la Cruz, Santa Cruz de Tenerife",,,Sin gluten Canarias,Sin gluten Canarias
TOC-TOC Café (vegetariano/vegano/sin gluten),28.415967,-16.5532073,"Pl. 3 de abril, 38400 Puerto de la Cruz, Santa Cruz de Tenerife",,,Sin gluten Canarias,Sin gluten Canarias
"Mancha Mantel, Café & Mezcal",28.1485128,-15.4287101,"C. Herrería, 10, 35001 Las Palmas de Gran Canaria, Las Palmas",,,Sin gluten Canarias,Sin gluten Canarias
Bar Restaurante Roque Nublo,27.9763861,-15.5999033,,,,Sin gluten Canarias,Sin gluten Canarias
Pizzería Amore Mio.,28.9584732,-13.5564041,"Av. Fred Olsen, 1, 35500 Arrecife, Las Palmas",,,Sin gluten Canarias,Sin gluten Canarias
Cervecería El Dojo,27.9964922,-15.418179499999999,,,,Sin gluten Canarias,Sin gluten Canarias
Good Market Las Palmas,28.111024399999998,-15.4329419,,,,Sin gluten Canarias,Sin gluten Canarias
La Perpleja Bar.,28.1486816,-15.4308689,,,,Sin gluten Canarias,Sin gluten Canarias
