nombre,lat,lng,direccion,categoria,capa,mapa,lista,gf_nivel,certificado,web,telefono,gmaps_url
Naked & Sated | Estébanez Calderón,40.4633434,-3.6906572,,Mediterránea,madrid-sensibles-gluten,SinGlu,SinGlu,,si,,,"https://www.google.com/maps/search/Naked+%26+Sated+%7C+Est%C3%A9banez+Calder%C3%B3n/@40.4633434,-3.6906572,17z"
As De Bastos | Madrid,40.4532122,-3.7078898,,Mediterránea,,SinGlu,SinGlu,,,,,"https://www.google.com/maps/search/As+De+Bastos+%7C+Madrid/@40.4532122,-3.7078898,17z"
Solo de Croquetas | Reina Victoria,40.4468031,-3.7067206,,Mediterránea,,SinGlu,SinGlu,,,,,"https://www.google.com/maps/search/Solo+de+Croquetas+%7C+Reina+Victoria/@40.4468031,-3.7067206,17z"
Zita l Gabriel Lobo,40.4430041,-3.6803913,,Pastelería,,SinGlu,SinGlu,,,,,"https://www.google.com/maps/search/Zita+l+Gabriel+Lobo/@40.4430041,-3.6803913,17z"
Zita l Sagasta,40.4287031,-3.7015955,,Pastelería,,SinGlu,SinGlu,,,,,"https://www.google.com/maps/search/Zita+l+Sagasta/@40.4287031,-3.7015955,17z"
Sana Locura Gluten Free Bakery | Chamberí,40.44081329999999,-3.7177051,,Pastelería,,SinGlu,SinGlu,,,,,"https://www.google.com/maps/search/Sana+Locura+Gluten+Free+Bakery+%7C+Chamber%C3%AD/@40.44081329999999,-3.7177051,17z"
Sana Locura Gluten Free Bakery | Salamanca,40.4362808,-3.6800678,,Pasteleria,,SinGlu,SinGlu,,,,,"https://www.google.com/maps/search/Sana+Locura+Gluten+Free+Bakery+%7C+Salamanca/@40.4362808,-3.6800678,17z"
FU.BA,40.439566,-3.7004667,,Panadería,,SinGlu,SinGlu,,,,,"https://www.google.com/maps/search/FU.BA/@40.439566,-3.7004667,17z"
Goiko Gluten Free | Maria Molina ,40.43762419999999,-3.686686899999999,,Hamburguesería ,,SinGlu,SinGlu,,,,,"https://www.google.com/maps/search/Goiko+Gluten+Free+%7C+Maria+Molina+/@40.43762419999999,-3.686686899999999,17z"
La Tagliatella Senza Glutine | Avda. de América,40.4393732,-3.6731881,,Italiano,,SinGlu,SinGlu,,,,,"https://www.google.com/maps/search/La+Tagliatella+Senza+Glutine+%7C+Avda.+de+Am%C3%A9rica/@40.4393732,-3.6731881,17z"
Pastelería La Oriental,40.4294565,-3.7206516,,Pastelería ,,SinGlu,SinGlu,,,,,"https://www.google.com/maps/search/Pasteler%C3%ADa+La+Oriental/@40.4294565,-3.7206516,17z"
Waraku,40.4322293,-3.7180287,,Asiática,,SinGlu,SinGlu,,,,,"https://www.google.com/maps/search/Waraku/@40.4322293,-3.7180287,17z"
Amé Gluten Free,40.4321785,-3.7143098,,Pastelería,,SinGlu,SinGlu,,,,,"https://www.google.com/maps/search/Am%C3%A9+Gluten+Free/@40.4321785,-3.7143098,17z"
Empanadas Maíz Sabor,40.43248759999999,-3.7113871,,Mediterránea,,SinGlu,SinGlu,,,,,"https://www.google.com/maps/search/Empanadas+Ma%C3%ADz+Sabor/@40.43248759999999,-3.7113871,17z"
Senza Glutine di Grosso Napoletano l Engracia,40.43397849999999,-3.6979477,,Pizzería,,SinGlu,SinGlu,,,,,"https://www.google.com/maps/search/Senza+Glutine+di+Grosso+Napoletano+l+Engracia/@40.43397849999999,-3.6979477,17z"
Senza Glutine di Grosso Napoletano l Fernando VI,40.4248392,-3.6955707,,Pizzería,,SinGlu,SinGlu,,,,,"https://www.google.com/maps/search/Senza+Glutine+di+Grosso+Napoletano+l+Fernando+VI/@40.4248392,-3.6955707,17z"
Senza Glutine di Grosso Napoletano l De la Cruz,40.4159659,-3.7009377,,Pizzería,,SinGlu,SinGlu,,,,,"https://www.google.com/maps/search/Senza+Glutine+di+Grosso+Napoletano+l+De+la+Cruz/@40.4159659,-3.7009377,17z"
Senza Glutine di Grosso Napoletano l Pardiñas,40.4334596,-3.6778168,,Pizzería,,SinGlu,SinGlu,,,,,"https://www.google.com/maps/search/Senza+Glutine+di+Grosso+Napoletano+l+Pardi%C3%B1as/@40.4334596,-3.6778168,17z"
Senza Glutine di Grosso Napoletano l Castellana,40.4768716,-3.6889089,,Pizzería,,SinGlu,SinGlu,,,,,"https://www.google.com/maps/search/Senza+Glutine+di+Grosso+Napoletano+l+Castellana/@40.4768716,-3.6889089,17z"
Senza Glutine di Grosso Napoletano l Majadahonda,40.4589723,-3.8610963,,Pizzería,,SinGlu,SinGlu,,,,,"https://www.google.com/maps/search/Senza+Glutine+di+Grosso+Napoletano+l+Majadahonda/@40.4589723,-3.8610963,17z"
Pink's!!,40.4354684,-3.6952334,,Hamburguesería,,SinGlu,SinGlu,,,,,"https://www.google.com/maps/search/Pink%27s%21%21/@40.4354684,-3.6952334,17z"
Naked & Sated | Serrano,40.4353511,-3.6862387,,Mediterránea,madrid-sensibles-gluten,SinGlu,SinGlu,,si,,,"https://www.google.com/maps/search/Naked+%26+Sated+%7C+Serrano/@40.4353511,-3.6862387,17z"
Pizza Natura ,40.4365345,-3.6760853,,Pizzería,,SinGlu,SinGlu,,,,,"https://www.google.com/maps/search/Pizza+Natura+/@40.4365345,-3.6760853,17z"
La Celiacoteca,40.4335946,-3.6724413,,Panadería,face,SinGlu,SinGlu,,si,,,"https://www.google.com/maps/search/La+Celiacoteca/@40.4335946,-3.6724413,17z"
Llagar La Llobera,40.431585,-3.6998505,,Mediterránea,,SinGlu,SinGlu,,,,,"https://www.google.com/maps/search/Llagar+La+Llobera/@40.431585,-3.6998505,17z"
Focacciamo Senza gluten,40.4315124,-3.700257,,Focaccia,,SinGlu,SinGlu,,,,,"https://www.google.com/maps/search/Focacciamo+Senza+gluten/@40.4315124,-3.700257,17z"
Pasta Balboa,40.4302026,-3.701572,,Italiana,,SinGlu,SinGlu,,,,,"https://www.google.com/maps/search/Pasta+Balboa/@40.4302026,-3.701572,17z"
La Tape,40.4287943,-3.7058974,,Saludable,,SinGlu,SinGlu,,,,,"https://www.google.com/maps/search/La+Tape/@40.4287943,-3.7058974,17z"
Ardemos l Madrid,40.4293059,-3.7030775,,Hamburguesería,,SinGlu,SinGlu,,,,,"https://www.google.com/maps/search/Ardemos+l+Madrid/@40.4293059,-3.7030775,17z"
El Reloj de Harry & Sally,40.4218629,-3.7114849,,Mediterránea,,SinGlu,SinGlu,,,,,"https://www.google.com/maps/search/El+Reloj+de+Harry+%26+Sally/@40.4218629,-3.7114849,17z"
Okashi Lavapies,40.4078378,-3.6997858,,Japonés,,SinGlu,SinGlu,,,,,"https://www.google.com/maps/search/Okashi+Lavapies/@40.4078378,-3.6997858,17z"
Tabanco Amores,40.4102289,-3.6979673,,Mediterránea,,SinGlu,SinGlu,,,,,"https://www.google.com/maps/search/Tabanco+Amores/@40.4102289,-3.6979673,17z"
LaLina Bravas y Tapas,40.41143599999999,-3.7087536,,Mediterránea,,SinGlu,SinGlu,,,,,"https://www.google.com/maps/search/LaLina+Bravas+y+Tapas/@40.41143599999999,-3.7087536,17z"
Escorza,40.4133596,-3.7268268,,Saludable,madrid-sensibles-gluten,SinGlu,SinGlu,,si,,,"https://www.google.com/maps/search/Escorza/@40.4133596,-3.7268268,17z"
Casa San Juan ,40.4139278,-3.700819099999999,,Mediterránea,,SinGlu,SinGlu,,,,,"https://www.google.com/maps/search/Casa+San+Juan+/@40.4139278,-3.700819099999999,17z"
Cucurucho l Goya,40.4242922,-3.6735376,,Mediterránea,,SinGlu,SinGlu,,,,,"https://www.google.com/maps/search/Cucurucho+l+Goya/@40.4242922,-3.6735376,17z"
Pizz-End-Gluten,40.4277088,-3.670824999999999,,Pizzería,,SinGlu,SinGlu,,,,,"https://www.google.com/maps/search/Pizz-End-Gluten/@40.4277088,-3.670824999999999,17z"
Naked & Sated l Embajadores,40.4277088,-3.670824999999999,,Hamburguesería ,madrid-sensibles-gluten,SinGlu,SinGlu,,si,,,"https://www.google.com/maps/search/Naked+%26+Sated+l+Embajadores/@40.4277088,-3.670824999999999,17z"
Lume,40.2825286,-3.7914945,,Mediterránea,,SinGlu,SinGlu,,,,,"https://www.google.com/maps/search/Lume/@40.2825286,-3.7914945,17z"
Blue Monkeys,42.0362557,3.1931616,,Mediterránea,,SinGlu,SinGlu,,,,,"https://www.google.com/maps/search/Blue+Monkeys/@42.0362557,3.1931616,17z"
Xabec l Calella de Palafrugell,41.8890267,3.1844665,,Mediterránea,,SinGlu,SinGlu,,,,,"https://www.google.com/maps/search/Xabec+l+Calella+de+Palafrugell/@41.8890267,3.1844665,17z"
Selva Life Coffee & Brunch,41.97651339999999,2.8209044,,Pastelería ,associacio-celiacs-catalunya,SinGlu,SinGlu,,si,,,"https://www.google.com/maps/search/Selva+Life+Coffee+%26+Brunch/@41.97651339999999,2.8209044,17z"
Crêpes Du Monde ,41.8043183,3.0543886,,Mediterránea,associacio-celiacs-catalunya,SinGlu,SinGlu,,si,,,"https://www.google.com/maps/search/Cr%C3%AApes+Du+Monde+/@41.8043183,3.0543886,17z"
Cafe del Mar | Blanes,41.6752094,2.7946854,,Mediterránea,,SinGlu,SinGlu,,,,,"https://www.google.com/maps/search/Cafe+del+Mar+%7C+Blanes/@41.6752094,2.7946854,17z"
The Hell You Eat,41.58225729999999,2.5490569,,Pastelería,,SinGlu,SinGlu,,,,,"https://www.google.com/maps/search/The+Hell+You+Eat/@41.58225729999999,2.5490569,17z"
GatBar,41.47032,2.2781561,,Mediterránea,associacio-celiacs-catalunya,SinGlu,SinGlu,,si,,,"https://www.google.com/maps/search/GatBar/@41.47032,2.2781561,17z"
Giardinetto Divino,41.5031989,2.150194,,Italiana,,SinGlu,SinGlu,,,,,"https://www.google.com/maps/search/Giardinetto+Divino/@41.5031989,2.150194,17z"
Sushi Tast Takeaway,41.5321534,2.0848319,,Asiática,associacio-celiacs-catalunya,SinGlu,SinGlu,,si,,,"https://www.google.com/maps/search/Sushi+Tast+Takeaway/@41.5321534,2.0848319,17z"
Rancho El Paso,41.4469256,2.0751473,,Mediterránea,associacio-celiacs-catalunya,SinGlu,SinGlu,,si,,,"https://www.google.com/maps/search/Rancho+El+Paso/@41.4469256,2.0751473,17z"
El noi del pa sense gluten,41.4279214,2.1663402,,Panadería ,associacio-celiacs-catalunya,SinGlu,SinGlu,,si,,,"https://www.google.com/maps/search/El+noi+del+pa+sense+gluten/@41.4279214,2.1663402,17z"
Dates & Avocados Atelier,41.4049675,2.1996441,,Pastelería ,associacio-celiacs-catalunya,SinGlu,SinGlu,,si,,,"https://www.google.com/maps/search/Dates+%26+Avocados+Atelier/@41.4049675,2.1996441,17z"
Salamat Clot,41.4076862,2.1845278,,Mediterránea,,SinGlu,SinGlu,,,,,"https://www.google.com/maps/search/Salamat+Clot/@41.4076862,2.1845278,17z"
Coliaki | Mallorca,41.4070361,2.1806925,,Pastelería,,SinGlu,SinGlu,,,,,"https://www.google.com/maps/search/Coliaki+%7C+Mallorca/@41.4070361,2.1806925,17z"
Bloome by Sasha Brunch |  Sagrada Familia,41.4075283,2.1741919,,Saludable ,,SinGlu,SinGlu,,,,,"https://www.google.com/maps/search/Bloome+by+Sasha+Brunch+%7C++Sagrada+Familia/@41.4075283,2.1741919,17z"
Ardemos l Barcelona,41.4071898,2.1737624,,Hamburguesería ,,SinGlu,SinGlu,,,,,"https://www.google.com/maps/search/Ardemos+l+Barcelona/@41.4071898,2.1737624,17z"
ARTiSA Barcelona l Colom,41.3797283,2.1748844,,Saludable,associacio-celiacs-catalunya,SinGlu,SinGlu,,si,,,"https://www.google.com/maps/search/ARTiSA+Barcelona+l+Colom/@41.3797283,2.1748844,17z"
ARTiSA Barcelona l Llull,41.3952019,2.1945215,,Pastelería ,associacio-celiacs-catalunya,SinGlu,SinGlu,,si,,,"https://www.google.com/maps/search/ARTiSA+Barcelona+l+Llull/@41.3952019,2.1945215,17z"
Manioca,41.3910326,2.1898701,,Mediterránea,,SinGlu,SinGlu,,,,,"https://www.google.com/maps/search/Manioca/@41.3910326,2.1898701,17z"
Bloome By Sasha Brunch l Joan,41.3975045,2.1726974,,Saludable,,SinGlu,SinGlu,,,,,"https://www.google.com/maps/search/Bloome+By+Sasha+Brunch+l+Joan/@41.3975045,2.1726974,17z"
Bloome By Sasha Brunch l Gótico,41.3867194,2.1749173,,Saludable,,SinGlu,SinGlu,,,,,"https://www.google.com/maps/search/Bloome+By+Sasha+Brunch+l+G%C3%B3tico/@41.3867194,2.1749173,17z"
Aruku Sushi Gluten Free,41.3995166,2.1674951,,Asiática,associacio-celiacs-catalunya,SinGlu,SinGlu,,si,,,"https://www.google.com/maps/search/Aruku+Sushi+Gluten+Free/@41.3995166,2.1674951,17z"
Che Chipá,41.4025982,2.1605462,,Italiana,associacio-celiacs-catalunya,SinGlu,SinGlu,,si,,,"https://www.google.com/maps/search/Che+Chip%C3%A1/@41.4025982,2.1605462,17z"
Gluten Tag! Obrador sense gluten,41.4017959,2.1583119,,Pastelería,,SinGlu,SinGlu,,,,,"https://www.google.com/maps/search/Gluten+Tag%21+Obrador+sense+gluten/@41.4017959,2.1583119,17z"
Glutery,41.4015959,2.1577045,,Pastelería ,,SinGlu,SinGlu,,,,,"https://www.google.com/maps/search/Glutery/@41.4015959,2.1577045,17z"
Chök Born | Barcelona ,41.3852719,2.1834594,,Pastelería ,associacio-celiacs-catalunya,SinGlu,SinGlu,,si,,,"https://www.google.com/maps/search/Cho%CC%88k+Born+%7C+Barcelona+/@41.3852719,2.1834594,17z"
Chök Born | Ramalleres,41.3846758,2.1683675,,Pastelería,associacio-celiacs-catalunya,SinGlu,SinGlu,,si,,,"https://www.google.com/maps/search/Cho%CC%88k+Born+%7C+Ramalleres/@41.3846758,2.1683675,17z"
Flax & Kale Passage,41.3884277,2.1765201,,Mediterránea | Pizzería,,SinGlu,SinGlu,,,,,"https://www.google.com/maps/search/Flax+%26+Kale+Passage/@41.3884277,2.1765201,17z"
Generation B - Healthy food para todos,41.397229,2.1684764,,Saludable,,SinGlu,SinGlu,,,,,"https://www.google.com/maps/search/Generation+B+-+Healthy+food+para+todos/@41.397229,2.1684764,17z"
La Browneria Gluten Free,41.396992,2.1684546,,Pastelería,,SinGlu,SinGlu,,,,,"https://www.google.com/maps/search/La+Browneria+Gluten+Free/@41.396992,2.1684546,17z"
Hanai Vegana l Gracia,41.4013459,2.1589483,,Pastelería ,,SinGlu,SinGlu,,,,,"https://www.google.com/maps/search/Hanai+Vegana+l+Gracia/@41.4013459,2.1589483,17z"
Rayün Dulcería,41.4010041,2.1548089,,Pastelería,,SinGlu,SinGlu,,,,,"https://www.google.com/maps/search/Ray%C3%BCn+Dulcer%C3%ADa/@41.4010041,2.1548089,17z"
La Consciente Gracia,41.4041653,2.1516862,,Healthy Brunch,associacio-celiacs-catalunya,SinGlu,SinGlu,,si,,,"https://www.google.com/maps/search/La+Consciente+Gracia/@41.4041653,2.1516862,17z"
Creperia Krampus,41.4035289,2.1468858,,Tapas,,SinGlu,SinGlu,,,,,"https://www.google.com/maps/search/Creperia+Krampus/@41.4035289,2.1468858,17z"
Sana Locura Bakery | Barcelona,41.4042433,2.140943,,Pastelería ,,SinGlu,SinGlu,,,,,"https://www.google.com/maps/search/Sana+Locura+Bakery+%7C+Barcelona/@41.4042433,2.140943,17z"
Helma Cakes,41.3988423,2.140726,,Saludable ,associacio-celiacs-catalunya,SinGlu,SinGlu,,si,,,"https://www.google.com/maps/search/Helma+Cakes/@41.3988423,2.140726,17z"
Holy Grain Bakery,40.416911,-3.675941,,Obrador,,SinGlu,SinGlu,,,,,"https://www.google.com/maps/search/Holy+Grain+Bakery/@40.416911,-3.675941,17z"
Celicioso l O´donell,40.4207099,-3.6688848,,,,SinGlu,SinGlu,,,,,"https://www.google.com/maps/search/Celicioso+l+O%C2%B4donell/@40.4207099,-3.6688848,17z"
Celicioso l Hortaleza,40.4203842,-3.7011344,,,,SinGlu,SinGlu,,,,,"https://www.google.com/maps/search/Celicioso+l+Hortaleza/@40.4203842,-3.7011344,17z"
Celicioso l Barquillo,40.4221058,-3.6958575,,Pastelería ,,SinGlu,SinGlu,,,,,"https://www.google.com/maps/search/Celicioso+l+Barquillo/@40.4221058,-3.6958575,17z"
Celi & Co gluten free bakery,40.9652519,-5.662581299999999,,,,SinGlu,SinGlu,,,,,"https://www.google.com/maps/search/Celi+%26+Co+gluten+free+bakery/@40.9652519,-5.662581299999999,17z"
Yummy Brunch,36.5915907,-4.526833,,,acema,SinGlu,SinGlu,,si,,,"https://www.google.com/maps/search/Yummy+Brunch/@36.5915907,-4.526833,17z"
Solo de Croquetas | Echegaray,40.4160129,-3.6995733,,Croquetas,,SinGlu,SinGlu,,,,,"https://www.google.com/maps/search/Solo+de+Croquetas+%7C+Echegaray/@40.4160129,-3.6995733,17z"
As De Bastos | Majadahonda,40.4762968,-3.8752818,,Mediterránea,,SinGlu,SinGlu,,,,,"https://www.google.com/maps/search/As+De+Bastos+%7C+Majadahonda/@40.4762968,-3.8752818,17z"
La Tagliatella Senza Glutine | Dr. Esquerdo,40.4264169,-3.6681571,,Italiano,,SinGlu,SinGlu,,,,,"https://www.google.com/maps/search/La+Tagliatella+Senza+Glutine+%7C+Dr.+Esquerdo/@40.4264169,-3.6681571,17z"
Makapia Tapas,36.2848326,-6.0777622,,Tapas,face,SinGlu,SinGlu,,si,,,"https://www.google.com/maps/search/Makapia+Tapas/@36.2848326,-6.0777622,17z"
El Rincón del Celiaco,36.4471833,-6.2064306,,Panadería,acecan,SinGlu,SinGlu,,si,,,"https://www.google.com/maps/search/El+Rinc%C3%B3n+del+Celiaco/@36.4471833,-6.2064306,17z"
Sana Locura | Tenerife,28.4889637,-16.3170398,,Pastelería,,SinGlu,SinGlu,,,,,"https://www.google.com/maps/search/Sana+Locura+%7C+Tenerife/@28.4889637,-16.3170398,17z"
Yummy,36.5970692,-4.5258348,,Heladería,acema,SinGlu,SinGlu,,si,,,"https://www.google.com/maps/search/Yummy/@36.5970692,-4.5258348,17z"
Chiringuito Los Bandoleros,36.6276802,-4.4912047,,Mediterránea,acema,SinGlu,SinGlu,,si,,,"https://www.google.com/maps/search/Chiringuito+Los+Bandoleros/@36.6276802,-4.4912047,17z"
Senza Glutine di Grosso Napoletano | Sevilla,37.40101310000001,-5.9939222,,Italiano/Pizzas,,SinGlu,SinGlu,,,,,"https://www.google.com/maps/search/Senza+Glutine+di+Grosso+Napoletano+%7C+Sevilla/@37.40101310000001,-5.9939222,17z"
